"repo","path","document","line","excerpt"
"core","app/app.go","review/REVIEW-2026-09-09.md","36","cube-core/app/app.go cube-core/app/registry.go cube-core/app/config_validation.go cube-core/app/app_test.go"
"core","app/app.go","review/REVIEW-2026-09-09.md","62","| 生命周期 | Core `app/app.go:285` 起收敛 Serve/Shutdown，再逆序停止 mods；`stopModsReverseWithContext:411` 在停止未完成时保留依赖 | 不只是调用 Stop 列表，而是在退出超时与依赖仍被使用之间做了明确取舍。超时不能等同于完成清理，进程级处置仍需部署策略 |"
"core","app/app_test.go","review/REVIEW-2026-09-09.md","36","cube-core/app/app.go cube-core/app/registry.go cube-core/app/config_validation.go cube-core/app/app_test.go"
"core","app/config_validation.go","review/REVIEW-2026-09-09.md","36","cube-core/app/app.go cube-core/app/registry.go cube-core/app/config_validation.go cube-core/app/app_test.go"
"core","app/config_validation.go","review/REVIEW-2026-09-09.md","91","**2. Core 的通用机制与业务部署策略仍有交织。** `app/config_validation.go:66` 起按 `game`、`instance`、`account` 等具体服务名检查 Redis、player、save_load 配置。安全默认值有价值；但通用 Core 如果绑定一种业务命名和持久化组合，会让不同接入方式承担额外耦合。这是架构观察，未确认运行时 bug。建议后续评估可注册的服务配置 validator/profile：通用机制留 Core，标准游戏接入策略由 Kit/模板选择。不要为“分层整齐”删除现有生产保护。"
"core","app/registry.go","review/REVIEW-2026-09-09.md","36","cube-core/app/app.go cube-core/app/registry.go cube-core/app/config_validation.go cube-core/app/app_test.go"
"core","cache/atomic_local.go","review/REVIEW-2026-09-13-02.md","17","coverage 包含 snapshot_l2.go、snapshot_l2_test.go、entity/remote_snapshot.go、cache/read_through.go、cache/atomic_local.go，并加 remoteentity/entity/cache scope，均无记录缺口和下一页；这不证明图谱已更新。Expiry 字段引用为 literal 源码检索，核查目标两个文件未调用 Expired，结论限定实际读取链。ledger 已知 partial 第 311 行读原文。未进行其他三仓功能的穷尽检查。"
"core","cache/atomic_local.go","review/REVIEW-2026-09-13-07.md","11","coverage 检查 remote_snapshot.go、interest.go、transaction_manager.go、read_through.go、atomic_local.go 及两个新增 promises 测试：旧文件 metadata_changed，新测试 not_tracked。相关实际源码直接阅读补证；entity scope 无记录缺口不代表完整。本轮不声称整个依赖图或全仓完成审查。"
"core","cache/mirror.go","review/IMPLEMENTATION-REMOTE-POLICY-MIRROR.md","23","| 通用缓存适配 | [cache/mirror.go](../../cache/mirror.go):94：Upsert 解码后 Set，Delete 直接 Delete | 不通用地比较 Envelope.Version；Delete 不携带版本给 Store。`VersionStale` 是策略，不是复制协议 |"
"core","cache/mirror.go","bug/REVIEW-2026-09-12-02.md","9","| Remote 接收删除直接失效缓存 | remoteentity/syncer.go:103–104 不比较 env.Version；cache/mirror.go:98–102 同样直接 Delete | 源码风险；真实 broker 顺序、旧删除投递与权威回填交错尚未端到端复现，后续单独验收，不扩大成已确认数据丢失 |"
"core","cache/read_through.go","review/REVIEW-2026-09-08.md","28","- cube-core/cache/read_through.go、store.go、read_through_promises_test.go；"
"core","cache/read_through.go","review/REVIEW-2026-09-08.md","39","| core | 缓存读穿透合并，版本存储插入/CAS 契约和内存实现 | cache/read_through.go；versionstore/versionstore.go、memory_store.go |"
"core","cache/read_through.go","review/REVIEW-2026-09-09.md","45","cube-core/cache/read_through.go"
"core","cache/read_through.go","review/REVIEW-2026-09-09.md","104","| RR-20260908-02 | Core `cache/read_through.go:91` | 无存活等待者仍拒绝新跟随者 | 每次 admission 的资源计数，是否在完成、取消、错误三条路径都归还？累计指标是否误作存量？ |"
"core","cache/read_through.go","review/REVIEW-2026-09-13-02.md","17","coverage 包含 snapshot_l2.go、snapshot_l2_test.go、entity/remote_snapshot.go、cache/read_through.go、cache/atomic_local.go，并加 remoteentity/entity/cache scope，均无记录缺口和下一页；这不证明图谱已更新。Expiry 字段引用为 literal 源码检索，核查目标两个文件未调用 Expired，结论限定实际读取链。ledger 已知 partial 第 311 行读原文。未进行其他三仓功能的穷尽检查。"
"core","cache/read_through.go","review/REVIEW-2026-09-13-07.md","11","coverage 检查 remote_snapshot.go、interest.go、transaction_manager.go、read_through.go、atomic_local.go 及两个新增 promises 测试：旧文件 metadata_changed，新测试 not_tracked。相关实际源码直接阅读补证；entity scope 无记录缺口不代表完整。本轮不声称整个依赖图或全仓完成审查。"
"core","cache/read_through.go","bug/REVIEW-2026-09-08.md","43","**P2，已复现，未修复。** core [cache/read_through.go](../../cache/read_through.go) 第 91–105 行。"
"core","cache/read_through.go","bug/REVIEW-2026-09-09.md","36","| RR-20260908-02 | Core `cache/read_through.go:91–105` | 取消等待后，新等待者仍被拒绝 |"
"core","cache/read_through.go","bug/REVIEW-2026-09-13-02.md","7","位置：[entity/remote_snapshot.go](../../entity/remote_snapshot.go):186–195 固定 `IgnoreRemoteError: true`；[cache/read_through.go](../../cache/read_through.go):182–195 对 remote.Set 的所有错误统一降级，再写 L1。"
"core","cache/read_through.go","bug/REVIEW-2026-09-13-02.md","17","位置：[cache/read_through.go](../../cache/read_through.go):146–148 的 L2 命中直接 `setLocal(value)`；[entity/remote_snapshot.go](../../entity/remote_snapshot.go):173–179 的 Stale 只比较 epoch/version，不比较相同版本内容；Publish 的专用冲突检查在 :315–320，但回填不经过它。"
"core","cache/read_through.go","bug/REVIEW-2026-09-13-07.md","7","原两个 Replicator 删除乱序复现均通过，说明直接 Publish 的墓碑有效。但 [DeleteAtVersion](../../entity/remote_snapshot.go)（520–536 行）只比较 L1，墓碑检查仅在 Publish（404 行），[ReadThrough.loadOne](../../cache/read_through.go)（137–159 行）不经过这道检查。"
"core","cache/read_through.go","bug/REVIEW-2026-09-13-07.md","16","[Publish](../../entity/remote_snapshot.go)（425–447 行）新增 cold L1 的 L2.Get 预检查，但 [ReadThrough.Set](../../cache/read_through.go)（192–202 行）仍在 IgnoreRemoteError 下吞掉实际 Set 的语义冲突。"
"core","cache/read_through_promises_test.go","review/REVIEW-2026-09-08.md","28","- cube-core/cache/read_through.go、store.go、read_through_promises_test.go；"
"core","dataengine/engine/assembly.go","review/IMPLEMENTATION-STATE-AND-LIFECYCLE.md","17","Core `dataengine/engine/assembly.go` 持有 Runtime；`runtime.go` 管理组件关闭。原问题是在 Shutdown 尚未成功时丢弃 Runtime，后一次调用因为没有对象而返回成功，形成“未完成却不可重试”。"
"core","dataengine/engine/assembly.go","review/REVIEW-2026-09-09-03.md","31","cube-core/dataengine/engine/assembly.go cube-core/dataengine/engine/runtime.go cube-core/dataengine/engine/projector.go cube-core/dataengine/engine/outbox_worker.go cube-core/dataengine/engine/projector_test.go cube-core/dataengine/engine/assembly_promises_test.go"
"core","dataengine/engine/assembly.go","review/REVIEW-2026-09-09.md","42","cube-core/dataengine/engine/assembly.go"
"core","dataengine/engine/assembly.go","review/REVIEW-2026-09-09.md","61","| Core/Kit 分工 | Core `dataengine/engine/assembly.go` 的 typed Config/Dependencies 与 Assemble/Start/Shutdown；Kit `dataengine/mod.go` 将配置和能力解析后交给 Assembly | 实现归属符合三仓目标。Core 可以承载必要的基础设施实现，不必退回“只有接口”的空壳；关键是契约与具体驱动的依赖方向 |"
"core","dataengine/engine/assembly.go","bug/REVIEW-2026-09-09-03.md","9","**位置：** `dataengine/engine/assembly.go:161–164` 调用 runtime.Shutdown 后，无论结果如何都清空 `a.runtime`；下次调用在 `runtime == nil` 时返回 nil。Kit `dataengine/mod.go` 的 StopWithContext 直接转发到该方法。"
